lib,chrs,start,stop,cos,width
results/06_tiger/lib15_MappedOn_tair10,Chr5,17128421,17128474,17128447,53
results/06_tiger/lib16_MappedOn_tair10,Chr1,12281255,12281302,12281279,47
results/06_tiger/lib16_MappedOn_tair10,Chr1,25949618,25950125,25949872,507
results/06_tiger/lib16_MappedOn_tair10,Chr2,6843314,6843439,6843376,125
results/06_tiger/lib16_MappedOn_tair10,Chr3,16894975,16895061,16895018,86
results/06_tiger/lib16_MappedOn_tair10,Chr4,7333254,7333277,7333266,23
results/06_tiger/lib16_MappedOn_tair10,Chr4,11550698,11550901,11550800,203
results/06_tiger/lib17_MappedOn_tair10,Chr1,8310061,8311771,8310916,1710
results/06_tiger/lib17_MappedOn_tair10,Chr1,16577873,16581496,16579685,3623
results/06_tiger/lib17_MappedOn_tair10,Chr1,22990711,22990798,22990755,87
results/06_tiger/lib17_MappedOn_tair10,Chr3,307158,307876,307517,718
results/06_tiger/lib17_MappedOn_tair10,Chr3,18667332,18668323,18667828,991
results/06_tiger/lib17_MappedOn_tair10,Chr3,19067418,19067727,19067572,309
results/06_tiger/lib17_MappedOn_tair10,Chr4,8770478,8770850,8770664,372
results/06_tiger/lib17_MappedOn_tair10,Chr5,17098952,17099846,17099399,894
results/06_tiger/lib17_MappedOn_tair10,Chr5,21655322,21655494,21655408,172
results/06_tiger/lib17_MappedOn_tair10,Chr5,26809016,26809304,26809160,288
results/06_tiger/lib18_MappedOn_tair10,Chr1,12217683,12218077,12217880,394
results/06_tiger/lib18_MappedOn_tair10,Chr1,12480729,12481302,12481015,573
results/06_tiger/lib18_MappedOn_tair10,Chr1,23049993,23050158,23050075,165
results/06_tiger/lib18_MappedOn_tair10,Chr2,9614678,9616693,9615686,2015
results/06_tiger/lib18_MappedOn_tair10,Chr2,16582545,16582796,16582671,251
results/06_tiger/lib18_MappedOn_tair10,Chr3,11466322,11466603,11466462,281
results/06_tiger/lib18_MappedOn_tair10,Chr4,185994,186173,186084,179
results/06_tiger/lib18_MappedOn_tair10,Chr4,10214012,10214182,10214097,170
results/06_tiger/lib18_MappedOn_tair10,Chr5,16440529,16440663,16440596,134
results/06_tiger/lib18_MappedOn_tair10,Chr5,23733637,23733820,23733729,183
results/06_tiger/lib19_MappedOn_tair10,Chr1,16873975,16874585,16874280,610
results/06_tiger/lib19_MappedOn_tair10,Chr3,11214401,11215116,11214759,715
results/06_tiger/lib19_MappedOn_tair10,Chr3,15607960,15615561,15611760,7601
results/06_tiger/lib19_MappedOn_tair10,Chr4,436140,437986,437063,1846
results/06_tiger/lib19_MappedOn_tair10,Chr4,11940373,11942205,11941289,1832
results/06_tiger/lib19_MappedOn_tair10,Chr5,7367489,7368492,7367991,1003
results/06_tiger/lib2_MappedOn_tair10,Chr1,7936852,7937537,7937194,685
results/06_tiger/lib2_MappedOn_tair10,Chr1,16874181,16874585,16874383,404
results/06_tiger/lib2_MappedOn_tair10,Chr1,19442005,19442124,19442065,119
results/06_tiger/lib2_MappedOn_tair10,Chr2,288295,289251,288773,956
results/06_tiger/lib2_MappedOn_tair10,Chr2,7863760,7863934,7863847,174
results/06_tiger/lib2_MappedOn_tair10,Chr2,15367496,15367996,15367746,500
results/06_tiger/lib2_MappedOn_tair10,Chr5,19516080,19516474,19516277,394
results/06_tiger/lib20_MappedOn_tair10,Chr1,9467898,9472228,9470063,4330
results/06_tiger/lib20_MappedOn_tair10,Chr1,10957851,10957985,10957918,134
results/06_tiger/lib20_MappedOn_tair10,Chr1,11471553,11472010,11471781,457
results/06_tiger/lib20_MappedOn_tair10,Chr2,12248673,12248820,12248747,147
results/06_tiger/lib20_MappedOn_tair10,Chr4,6832879,6833320,6833099,441
results/06_tiger/lib20_MappedOn_tair10,Chr4,9443516,9443566,9443541,50
results/06_tiger/lib20_MappedOn_tair10,Chr5,14728789,14730237,14729513,1448
results/06_tiger/lib20_MappedOn_tair10,Chr5,15216275,15217127,15216701,852
results/06_tiger/lib21_MappedOn_tair10,Chr1,20020311,20020787,20020549,476
results/06_tiger/lib21_MappedOn_tair10,Chr2,6286465,6288955,6287710,2490
results/06_tiger/lib21_MappedOn_tair10,Chr2,6382404,6382537,6382470,133
results/06_tiger/lib21_MappedOn_tair10,Chr4,6044029,6044279,6044154,250
results/06_tiger/lib21_MappedOn_tair10,Chr5,8706711,8708437,8707574,1726
results/06_tiger/lib21_MappedOn_tair10,Chr5,26328573,26328722,26328647,149
results/06_tiger/lib22_MappedOn_tair10,Chr1,8150947,8152505,8151726,1558
results/06_tiger/lib22_MappedOn_tair10,Chr1,16128552,16128615,16128584,63
results/06_tiger/lib22_MappedOn_tair10,Chr2,14897586,14899664,14898625,2078
results/06_tiger/lib22_MappedOn_tair10,Chr3,596292,596565,596428,273
results/06_tiger/lib22_MappedOn_tair10,Chr3,9465004,9465254,9465129,250
results/06_tiger/lib22_MappedOn_tair10,Chr4,76516,76984,76750,468
results/06_tiger/lib22_MappedOn_tair10,Chr5,8112752,8113122,8112937,370
results/06_tiger/lib22_MappedOn_tair10,Chr5,9847945,9848001,9847973,56
results/06_tiger/lib23_MappedOn_tair10,Chr1,8310061,8311771,8310916,1710
results/06_tiger/lib23_MappedOn_tair10,Chr4,1520728,1520992,1520860,264
results/06_tiger/lib23_MappedOn_tair10,Chr4,16895715,16897192,16896453,1477
results/06_tiger/lib23_MappedOn_tair10,Chr5,15215063,15216275,15215669,1212
results/06_tiger/lib24_MappedOn_tair10,Chr1,18341246,18341483,18341364,237
results/06_tiger/lib24_MappedOn_tair10,Chr1,22519685,22519735,22519710,50
results/06_tiger/lib24_MappedOn_tair10,Chr2,1183550,1183741,1183646,191
results/06_tiger/lib24_MappedOn_tair10,Chr3,19199438,19199811,19199624,373
results/06_tiger/lib24_MappedOn_tair10,Chr4,6217323,6217578,6217451,255
results/06_tiger/lib24_MappedOn_tair10,Chr4,10161110,10162487,10161798,1377
results/06_tiger/lib24_MappedOn_tair10,Chr5,3784284,3784704,3784494,420
results/06_tiger/lib24_MappedOn_tair10,Chr5,26236016,26236558,26236287,542
results/06_tiger/lib25_MappedOn_tair10,Chr1,3443575,3445192,3444383,1617
results/06_tiger/lib25_MappedOn_tair10,Chr1,17915333,17916654,17915993,1321
results/06_tiger/lib25_MappedOn_tair10,Chr2,664731,664785,664758,54
results/06_tiger/lib25_MappedOn_tair10,Chr2,6393222,6393391,6393306,169
results/06_tiger/lib25_MappedOn_tair10,Chr3,8931142,8931245,8931194,103
results/06_tiger/lib25_MappedOn_tair10,Chr3,15931521,15931655,15931588,134
results/06_tiger/lib25_MappedOn_tair10,Chr4,5835200,5835480,5835340,280
results/06_tiger/lib25_MappedOn_tair10,Chr4,16294941,16295149,16295045,208
results/06_tiger/lib25_MappedOn_tair10,Chr5,17752189,17752570,17752379,381
results/06_tiger/lib26_MappedOn_tair10,Chr1,13077492,13078838,13078165,1346
results/06_tiger/lib26_MappedOn_tair10,Chr2,838140,839328,838734,1188
results/06_tiger/lib26_MappedOn_tair10,Chr3,7934882,7934953,7934918,71
results/06_tiger/lib26_MappedOn_tair10,Chr3,10075214,10075343,10075278,129
results/06_tiger/lib26_MappedOn_tair10,Chr3,19412245,19413370,19412807,1125
results/06_tiger/lib26_MappedOn_tair10,Chr3,22160501,22160813,22160657,312
results/06_tiger/lib26_MappedOn_tair10,Chr4,6901633,6901670,6901651,37
results/06_tiger/lib26_MappedOn_tair10,Chr4,9404271,9404400,9404335,129
results/06_tiger/lib26_MappedOn_tair10,Chr5,576184,576458,576321,274
results/06_tiger/lib26_MappedOn_tair10,Chr5,16136430,16137478,16136954,1048
results/06_tiger/lib26_MappedOn_tair10,Chr5,17215735,17216172,17215953,437
results/06_tiger/lib27_MappedOn_tair10,Chr3,18374423,18374731,18374577,308
results/06_tiger/lib27_MappedOn_tair10,Chr4,7348695,7349163,7348929,468
results/06_tiger/lib27_MappedOn_tair10,Chr5,16825333,16825435,16825384,102
results/06_tiger/lib27_MappedOn_tair10,Chr5,18635541,18635745,18635643,204
results/06_tiger/lib27_MappedOn_tair10,Chr5,19908195,19910208,19909201,2013
results/06_tiger/lib28_MappedOn_tair10,Chr1,3083285,3083566,3083425,281
results/06_tiger/lib28_MappedOn_tair10,Chr3,10336470,10336923,10336696,453
results/06_tiger/lib28_MappedOn_tair10,Chr4,661693,661855,661774,162
results/06_tiger/lib28_MappedOn_tair10,Chr4,8051498,8051802,8051650,304
results/06_tiger/lib28_MappedOn_tair10,Chr5,9005286,9005572,9005429,286
results/06_tiger/lib28_MappedOn_tair10,Chr5,16317055,16317210,16317133,155
results/06_tiger/lib29_MappedOn_tair10,Chr1,21659107,21659834,21659471,727
results/06_tiger/lib29_MappedOn_tair10,Chr2,243314,243408,243361,94
results/06_tiger/lib29_MappedOn_tair10,Chr2,1926717,1926794,1926755,77
results/06_tiger/lib29_MappedOn_tair10,Chr3,9341964,9342740,9342352,776
results/06_tiger/lib29_MappedOn_tair10,Chr3,11217906,11220246,11219076,2340
results/06_tiger/lib29_MappedOn_tair10,Chr4,799264,799356,799310,92
results/06_tiger/lib29_MappedOn_tair10,Chr4,7450832,7452999,7451916,2167
results/06_tiger/lib29_MappedOn_tair10,Chr5,993402,993971,993686,569
results/06_tiger/lib29_MappedOn_tair10,Chr5,24414356,24414514,24414435,158
results/06_tiger/lib3_MappedOn_tair10,Chr1,12941405,12942069,12941737,664
results/06_tiger/lib3_MappedOn_tair10,Chr1,25770070,25770401,25770236,331
results/06_tiger/lib3_MappedOn_tair10,Chr2,6809663,6810212,6809937,549
results/06_tiger/lib3_MappedOn_tair10,Chr2,18741072,18741472,18741272,400
results/06_tiger/lib3_MappedOn_tair10,Chr3,11049391,11049506,11049449,115
results/06_tiger/lib3_MappedOn_tair10,Chr4,6336819,6336983,6336901,164
results/06_tiger/lib30_MappedOn_tair10,Chr1,8985127,8985456,8985291,329
results/06_tiger/lib30_MappedOn_tair10,Chr1,10076174,10077595,10076884,1421
results/06_tiger/lib30_MappedOn_tair10,Chr1,23770442,23770757,23770600,315
results/06_tiger/lib30_MappedOn_tair10,Chr2,429326,431023,430174,1697
results/06_tiger/lib30_MappedOn_tair10,Chr2,6959560,6959586,6959573,26
results/06_tiger/lib30_MappedOn_tair10,Chr2,7701485,7701778,7701631,293
results/06_tiger/lib30_MappedOn_tair10,Chr3,14939609,14939925,14939767,316
results/06_tiger/lib30_MappedOn_tair10,Chr3,19999872,20000240,20000056,368
results/06_tiger/lib30_MappedOn_tair10,Chr4,9119074,9119264,9119169,190
results/06_tiger/lib30_MappedOn_tair10,Chr5,18575177,18576957,18576067,1780
results/06_tiger/lib31_MappedOn_tair10,Chr1,549671,560551,555111,10880
results/06_tiger/lib31_MappedOn_tair10,Chr1,16268409,16268499,16268454,90
results/06_tiger/lib31_MappedOn_tair10,Chr1,17226690,17227398,17227044,708
results/06_tiger/lib31_MappedOn_tair10,Chr2,11756084,11756441,11756262,357
results/06_tiger/lib31_MappedOn_tair10,Chr3,5645637,5646444,5646041,807
results/06_tiger/lib31_MappedOn_tair10,Chr3,18808624,18808966,18808795,342
results/06_tiger/lib31_MappedOn_tair10,Chr4,6076766,6077004,6076885,238
results/06_tiger/lib31_MappedOn_tair10,Chr4,11744487,11744538,11744513,51
results/06_tiger/lib31_MappedOn_tair10,Chr4,14366826,14370952,14368889,4126
results/06_tiger/lib31_MappedOn_tair10,Chr5,5875172,5875455,5875314,283
results/06_tiger/lib31_MappedOn_tair10,Chr5,20899003,20900354,20899679,1351
results/06_tiger/lib32_MappedOn_tair10,Chr1,12968111,12968208,12968159,97
results/06_tiger/lib32_MappedOn_tair10,Chr1,28420268,28420404,28420336,136
results/06_tiger/lib32_MappedOn_tair10,Chr2,6512842,6513093,6512968,251
results/06_tiger/lib32_MappedOn_tair10,Chr4,6334056,6334352,6334204,296
results/06_tiger/lib32_MappedOn_tair10,Chr5,17793687,17793889,17793788,202
results/06_tiger/lib32_MappedOn_tair10,Chr5,17872184,17872433,17872308,249
results/06_tiger/lib33_MappedOn_tair10,Chr1,28504651,28511467,28508059,6816
results/06_tiger/lib33_MappedOn_tair10,Chr2,11728791,11728955,11728873,164
results/06_tiger/lib33_MappedOn_tair10,Chr3,9218925,9218981,9218953,56
results/06_tiger/lib33_MappedOn_tair10,Chr3,15678417,15678499,15678458,82
results/06_tiger/lib33_MappedOn_tair10,Chr4,17365000,17365718,17365359,718
results/06_tiger/lib33_MappedOn_tair10,Chr5,25981848,25982134,25981991,286
results/06_tiger/lib34_MappedOn_tair10,Chr1,24488971,24489377,24489174,406
results/06_tiger/lib34_MappedOn_tair10,Chr1,25661233,25661356,25661295,123
results/06_tiger/lib34_MappedOn_tair10,Chr2,99910,99936,99923,26
results/06_tiger/lib34_MappedOn_tair10,Chr3,5498274,5499565,5498920,1291
results/06_tiger/lib34_MappedOn_tair10,Chr4,9031906,9032144,9032025,238
results/06_tiger/lib34_MappedOn_tair10,Chr5,5834259,5835491,5834875,1232
results/06_tiger/lib35_MappedOn_tair10,Chr1,7038294,7040667,7039480,2373
results/06_tiger/lib35_MappedOn_tair10,Chr1,12260047,12260270,12260159,223
results/06_tiger/lib35_MappedOn_tair10,Chr1,24766721,24767033,24766877,312
results/06_tiger/lib35_MappedOn_tair10,Chr2,2219039,2219051,2219045,12
results/06_tiger/lib35_MappedOn_tair10,Chr4,9887951,9888774,9888363,823
results/06_tiger/lib35_MappedOn_tair10,Chr5,8031415,8031659,8031537,244
results/06_tiger/lib36_MappedOn_tair10,Chr1,7402738,7402887,7402812,149
results/06_tiger/lib36_MappedOn_tair10,Chr1,23924121,23924236,23924179,115
results/06_tiger/lib36_MappedOn_tair10,Chr2,19231231,19233086,19232159,1855
results/06_tiger/lib36_MappedOn_tair10,Chr3,18395316,18395832,18395574,516
results/06_tiger/lib36_MappedOn_tair10,Chr5,13593724,13594599,13594162,875
results/06_tiger/lib36_MappedOn_tair10,Chr5,14542278,14542372,14542325,94
results/06_tiger/lib37_MappedOn_tair10,Chr1,13255192,13255773,13255482,581
results/06_tiger/lib37_MappedOn_tair10,Chr1,22001957,22002168,22002063,211
results/06_tiger/lib37_MappedOn_tair10,Chr2,6848824,6849101,6848962,277
results/06_tiger/lib37_MappedOn_tair10,Chr3,11122634,11127819,11125226,5185
results/06_tiger/lib37_MappedOn_tair10,Chr3,15952831,15952906,15952869,75
results/06_tiger/lib37_MappedOn_tair10,Chr5,10134092,10134612,10134352,520
results/06_tiger/lib38_MappedOn_tair10,Chr1,4859205,4863468,4861337,4263
results/06_tiger/lib38_MappedOn_tair10,Chr1,7742066,7742360,7742213,294
results/06_tiger/lib38_MappedOn_tair10,Chr1,19572450,19572884,19572667,434
results/06_tiger/lib38_MappedOn_tair10,Chr2,2292141,2292277,2292209,136
results/06_tiger/lib38_MappedOn_tair10,Chr2,6670859,6677503,6674181,6644
results/06_tiger/lib38_MappedOn_tair10,Chr3,8554208,8555008,8554608,800
results/06_tiger/lib38_MappedOn_tair10,Chr3,12362468,12362617,12362542,149
results/06_tiger/lib38_MappedOn_tair10,Chr5,11961288,11961471,11961380,183
results/06_tiger/lib39_MappedOn_tair10,Chr1,17275252,17275578,17275415,326
results/06_tiger/lib39_MappedOn_tair10,Chr2,6300427,6300914,6300671,487
results/06_tiger/lib39_MappedOn_tair10,Chr2,8282067,8292448,8287257,10381
results/06_tiger/lib39_MappedOn_tair10,Chr3,10647687,10648380,10648033,693
results/06_tiger/lib39_MappedOn_tair10,Chr5,13468227,13468575,13468401,348
results/06_tiger/lib39_MappedOn_tair10,Chr5,15902007,15902361,15902184,354
results/06_tiger/lib4_MappedOn_tair10,Chr2,6632532,6633422,6632977,890
results/06_tiger/lib4_MappedOn_tair10,Chr3,6686250,6686904,6686577,654
results/06_tiger/lib4_MappedOn_tair10,Chr3,7473827,7474052,7473939,225
results/06_tiger/lib4_MappedOn_tair10,Chr4,4801016,4801055,4801036,39
results/06_tiger/lib4_MappedOn_tair10,Chr5,9336948,9337915,9337432,967
results/06_tiger/lib4_MappedOn_tair10,Chr5,14976912,14976983,14976948,71
results/06_tiger/lib41_MappedOn_tair10,Chr1,7980804,7981080,7980942,276
results/06_tiger/lib41_MappedOn_tair10,Chr1,16774867,16775123,16774995,256
results/06_tiger/lib41_MappedOn_tair10,Chr2,5922188,5922247,5922218,59
results/06_tiger/lib41_MappedOn_tair10,Chr3,10950822,10951558,10951190,736
results/06_tiger/lib41_MappedOn_tair10,Chr3,17450987,17461980,17456483,10993
results/06_tiger/lib41_MappedOn_tair10,Chr5,1001486,1002253,1001870,767
results/06_tiger/lib41_MappedOn_tair10,Chr5,14727142,14727549,14727346,407
results/06_tiger/lib41_MappedOn_tair10,Chr5,26743381,26743704,26743543,323
results/06_tiger/lib42_MappedOn_tair10,Chr2,6034289,6034638,6034463,349
results/06_tiger/lib42_MappedOn_tair10,Chr2,12601311,12601768,12601539,457
results/06_tiger/lib42_MappedOn_tair10,Chr4,6937590,6937997,6937794,407
results/06_tiger/lib42_MappedOn_tair10,Chr5,17937565,17937942,17937753,377
results/06_tiger/lib43_MappedOn_tair10,Chr1,13317234,13317588,13317411,354
results/06_tiger/lib43_MappedOn_tair10,Chr1,26280606,26280899,26280752,293
results/06_tiger/lib43_MappedOn_tair10,Chr3,3503863,3503864,3503863,1
results/06_tiger/lib43_MappedOn_tair10,Chr4,12220541,12222546,12221543,2005
results/06_tiger/lib44_MappedOn_tair10,Chr1,9227501,9228035,9227768,534
results/06_tiger/lib44_MappedOn_tair10,Chr2,565212,565610,565411,398
results/06_tiger/lib44_MappedOn_tair10,Chr3,5182864,5203184,5193024,20320
results/06_tiger/lib44_MappedOn_tair10,Chr3,18367482,18367936,18367709,454
results/06_tiger/lib44_MappedOn_tair10,Chr3,20547849,20547913,20547881,64
results/06_tiger/lib44_MappedOn_tair10,Chr4,154545,154732,154639,187
results/06_tiger/lib44_MappedOn_tair10,Chr4,7529894,7530505,7530200,611
results/06_tiger/lib44_MappedOn_tair10,Chr5,309751,309788,309769,37
results/06_tiger/lib44_MappedOn_tair10,Chr5,20354664,20355451,20355058,787
results/06_tiger/lib44_MappedOn_tair10,Chr5,23928551,23928772,23928661,221
results/06_tiger/lib45_MappedOn_tair10,Chr1,26816262,26817243,26816752,981
results/06_tiger/lib45_MappedOn_tair10,Chr2,739036,739060,739048,24
results/06_tiger/lib45_MappedOn_tair10,Chr4,6878125,6878223,6878174,98
results/06_tiger/lib45_MappedOn_tair10,Chr4,6997594,6997664,6997629,70
results/06_tiger/lib45_MappedOn_tair10,Chr4,7681810,7683600,7682705,1790
results/06_tiger/lib45_MappedOn_tair10,Chr5,1931055,1932094,1931575,1039
results/06_tiger/lib45_MappedOn_tair10,Chr5,16385625,16387206,16386415,1581
results/06_tiger/lib45_MappedOn_tair10,Chr5,17532742,17533016,17532879,274
results/06_tiger/lib46_MappedOn_tair10,Chr1,17857859,17858787,17858323,928
results/06_tiger/lib46_MappedOn_tair10,Chr2,1426884,1427027,1426956,143
results/06_tiger/lib46_MappedOn_tair10,Chr2,7639502,7639669,7639586,167
results/06_tiger/lib46_MappedOn_tair10,Chr3,10534440,10534922,10534681,482
results/06_tiger/lib46_MappedOn_tair10,Chr3,16564173,16564228,16564201,55
results/06_tiger/lib47_MappedOn_tair10,Chr1,17167700,17167881,17167790,181
results/06_tiger/lib47_MappedOn_tair10,Chr2,7072664,7072930,7072797,266
results/06_tiger/lib47_MappedOn_tair10,Chr3,16615976,16616415,16616196,439
results/06_tiger/lib47_MappedOn_tair10,Chr4,9129645,9130866,9130255,1221
results/06_tiger/lib47_MappedOn_tair10,Chr4,17393517,17394277,17393897,760
results/06_tiger/lib47_MappedOn_tair10,Chr5,9913257,9913364,9913311,107
results/06_tiger/lib48_MappedOn_tair10,Chr1,10950427,10950447,10950437,20
results/06_tiger/lib48_MappedOn_tair10,Chr2,10206396,10206542,10206469,146
results/06_tiger/lib48_MappedOn_tair10,Chr3,1317108,1317517,1317312,409
results/06_tiger/lib48_MappedOn_tair10,Chr3,21231477,21231987,21231732,510
results/06_tiger/lib48_MappedOn_tair10,Chr4,17288535,17288649,17288592,114
results/06_tiger/lib48_MappedOn_tair10,Chr5,8557401,8559368,8558385,1967
results/06_tiger/lib48_MappedOn_tair10,Chr5,9110847,9111188,9111017,341
results/06_tiger/lib48_MappedOn_tair10,Chr5,25437443,25437589,25437516,146
results/06_tiger/lib49_MappedOn_tair10,Chr1,549671,560551,555111,10880
results/06_tiger/lib49_MappedOn_tair10,Chr1,7968108,7968362,7968235,254
results/06_tiger/lib49_MappedOn_tair10,Chr1,8028161,8029855,8029008,1694
results/06_tiger/lib49_MappedOn_tair10,Chr1,23394816,23395160,23394988,344
results/06_tiger/lib49_MappedOn_tair10,Chr2,2022111,2022602,2022357,491
results/06_tiger/lib49_MappedOn_tair10,Chr2,9841163,9842035,9841599,872
results/06_tiger/lib49_MappedOn_tair10,Chr3,18599868,18607976,18603922,8108
results/06_tiger/lib49_MappedOn_tair10,Chr3,22995827,22998971,22997399,3144
results/06_tiger/lib49_MappedOn_tair10,Chr4,7596185,7597470,7596827,1285
results/06_tiger/lib49_MappedOn_tair10,Chr5,10529904,10530096,10530000,192
results/06_tiger/lib49_MappedOn_tair10,Chr5,13879132,13879228,13879180,96
results/06_tiger/lib49_MappedOn_tair10,Chr5,26044736,26044846,26044791,110
results/06_tiger/lib5_MappedOn_tair10,Chr1,7321907,7322312,7322109,405
results/06_tiger/lib5_MappedOn_tair10,Chr1,11473848,11474185,11474016,337
results/06_tiger/lib5_MappedOn_tair10,Chr1,24315719,24316871,24316295,1152
results/06_tiger/lib5_MappedOn_tair10,Chr3,22790592,22790775,22790684,183
results/06_tiger/lib5_MappedOn_tair10,Chr5,2191851,2193243,2192547,1392
results/06_tiger/lib5_MappedOn_tair10,Chr5,26366757,26367407,26367082,650
results/06_tiger/lib50_MappedOn_tair10,Chr1,22732238,22738383,22735310,6145
results/06_tiger/lib50_MappedOn_tair10,Chr2,5678340,5678960,5678650,620
results/06_tiger/lib50_MappedOn_tair10,Chr3,11161769,11163448,11162609,1679
results/06_tiger/lib50_MappedOn_tair10,Chr4,6569541,6569894,6569717,353
results/06_tiger/lib50_MappedOn_tair10,Chr5,17025282,17025313,17025298,31
results/06_tiger/lib51_MappedOn_tair10,Chr1,11621810,11622188,11621999,378
results/06_tiger/lib51_MappedOn_tair10,Chr2,6347419,6348712,6348065,1293
results/06_tiger/lib51_MappedOn_tair10,Chr2,7184797,7185853,7185325,1056
results/06_tiger/lib51_MappedOn_tair10,Chr3,10838525,10839158,10838841,633
results/06_tiger/lib51_MappedOn_tair10,Chr4,12522116,12522207,12522162,91
results/06_tiger/lib51_MappedOn_tair10,Chr5,14884924,14885724,14885324,800
results/06_tiger/lib51_MappedOn_tair10,Chr5,19661298,19661348,19661323,50
results/06_tiger/lib52_MappedOn_tair10,Chr1,16641540,16641851,16641696,311
results/06_tiger/lib52_MappedOn_tair10,Chr1,17065396,17065920,17065658,524
results/06_tiger/lib52_MappedOn_tair10,Chr2,6700152,6700432,6700292,280
results/06_tiger/lib52_MappedOn_tair10,Chr3,10883839,10885627,10884733,1788
results/06_tiger/lib52_MappedOn_tair10,Chr4,575535,576110,575823,575
results/06_tiger/lib52_MappedOn_tair10,Chr5,15913718,15914598,15914158,880
results/06_tiger/lib53_MappedOn_tair10,Chr1,16430542,16430791,16430666,249
results/06_tiger/lib53_MappedOn_tair10,Chr2,6804750,6805055,6804902,305
results/06_tiger/lib53_MappedOn_tair10,Chr3,9807458,9807854,9807656,396
results/06_tiger/lib53_MappedOn_tair10,Chr3,11813552,11813594,11813573,42
results/06_tiger/lib53_MappedOn_tair10,Chr4,9344062,9346225,9345144,2163
