chr	window	cumwindow	coInWindow	libSize
Chr1	9000001	9000001	0	95
Chr1	9100001	9100001	2	95
Chr1	9200001	9200001	0	95
Chr1	9300001	9300001	0	95
Chr1	9400001	9400001	1	95
Chr1	9500001	9500001	0	95
Chr1	9600001	9600001	0	95
Chr1	9700001	9700001	1	95
Chr1	9800001	9800001	1	95
Chr1	9900001	9900001	0	95
Chr1	10000001	10000001	0	95
Chr1	10100001	10100001	1	95
Chr1	10200001	10200001	0	95
Chr1	10300001	10300001	1	95
Chr1	10400001	10400001	0	95
Chr1	10500001	10500001	0	95
Chr1	10600001	10600001	3	95
Chr1	10700001	10700001	0	95
Chr1	10800001	10800001	0	95
Chr1	10900001	10900001	0	95
Chr1	11000001	11000001	0	95
Chr1	11100001	11100001	1	95
Chr1	11200001	11200001	1	95
Chr1	11300001	11300001	1	95
Chr1	11400001	11400001	0	95
Chr1	11500001	11500001	2	95
Chr1	11600001	11600001	0	95
Chr1	11700001	11700001	0	95
Chr1	11800001	11800001	2	95
Chr1	11900001	11900001	0	95
Chr1	12000001	12000001	1	95
Chr1	12100001	12100001	2	95
Chr1	12200001	12200001	2	95
Chr1	12300001	12300001	0	95
Chr1	12400001	12400001	0	95
Chr1	12500001	12500001	0	95
Chr1	12600001	12600001	1	95
Chr1	12700001	12700001	0	95
Chr1	12800001	12800001	2	95
Chr1	12900001	12900001	0	95
Chr1	13000001	13000001	0	95
Chr1	13100001	13100001	2	95
Chr1	13200001	13200001	3	95
Chr1	13300001	13300001	1	95
Chr1	13400001	13400001	0	95
Chr1	13500001	13500001	1	95
Chr1	13600001	13600001	0	95
Chr1	13700001	13700001	0	95
Chr1	13800001	13800001	0	95
Chr1	13900001	13900001	0	95
Chr1	14000001	14000001	0	95
Chr1	14100001	14100001	1	95
Chr1	14200001	14200001	0	95
Chr1	14300001	14300001	0	95
Chr1	14400001	14400001	0	95
Chr1	14500001	14500001	0	95
Chr1	14600001	14600001	0	95
Chr1	14700001	14700001	0	95
Chr1	14800001	14800001	0	95
Chr1	14900001	14900001	0	95
Chr1	15000001	15000001	0	95
Chr1	15100001	15100001	0	95
Chr1	15200001	15200001	0	95
Chr1	15300001	15300001	0	95
Chr1	15400001	15400001	0	95
Chr1	15500001	15500001	0	95
Chr1	15600001	15600001	1	95
Chr1	15700001	15700001	0	95
Chr1	15800001	15800001	0	95
Chr1	15900001	15900001	0	95
Chr1	16000001	16000001	0	95
Chr1	16100001	16100001	5	95
Chr1	16200001	16200001	0	95
Chr1	16300001	16300001	0	95
Chr1	16400001	16400001	3	95
Chr1	16500001	16500001	0	95
Chr1	16600001	16600001	1	95
Chr1	16700001	16700001	4	95
Chr1	16800001	16800001	1	95
Chr1	16900001	16900001	0	95
Chr1	17000001	17000001	2	95
Chr1	17100001	17100001	4	95
Chr1	17200001	17200001	3	95
Chr1	17300001	17300001	1	95
Chr1	17400001	17400001	1	95
Chr1	17500001	17500001	0	95
Chr1	17600001	17600001	0	95
Chr1	17700001	17700001	1	95
Chr1	17800001	17800001	2	95
Chr1	17900001	17900001	0	95
Chr1	18000001	18000001	0	95
Chr1	18100001	18100001	0	95
Chr1	18200001	18200001	3	95
Chr1	18300001	18300001	1	95
Chr1	18400001	18400001	0	95
Chr1	18500001	18500001	0	95
Chr1	18600001	18600001	0	95
Chr1	18700001	18700001	1	95
Chr1	18800001	18800001	0	95
Chr1	18900001	18900001	0	95
Chr1	19000001	19000001	0	95
Chr1	19100001	19100001	1	95
Chr1	19200001	19200001	0	95
Chr1	19300001	19300001	0	95
Chr1	19400001	19400001	1	95
Chr1	19500001	19500001	0	95
Chr1	19600001	19600001	0	95
Chr1	19700001	19700001	0	95
Chr1	19800001	19800001	0	95
Chr1	19900001	19900001	1	95
Chr1	20000001	20000001	0	95
Chr1	20100001	20100001	1	95
Chr1	20200001	20200001	0	95
Chr1	20300001	20300001	0	95
Chr1	20400001	20400001	0	95
Chr1	20500001	20500001	0	95
Chr1	20600001	20600001	1	95
Chr1	20700001	20700001	0	95
Chr1	20800001	20800001	0	95
Chr1	20900001	20900001	0	95
Chr1	21000001	21000001	1	95
Chr1	21100001	21100001	1	95
Chr1	21200001	21200001	0	95
Chr1	21300001	21300001	1	95
Chr1	21400001	21400001	0	95
Chr1	21500001	21500001	0	95
Chr1	21600001	21600001	0	95
Chr1	21700001	21700001	0	95
Chr1	21800001	21800001	0	95
Chr1	21900001	21900001	1	95
Chr1	22000001	22000001	0	95
Chr1	22100001	22100001	1	95
Chr1	22200001	22200001	0	95
Chr1	22300001	22300001	0	95
Chr1	22400001	22400001	0	95
Chr1	22500001	22500001	0	95
Chr1	22600001	22600001	0	95
Chr1	22700001	22700001	1	95
Chr1	22800001	22800001	0	95
Chr1	22900001	22900001	2	95
Chr1	23000001	23000001	0	95
Chr1	23100001	23100001	0	95
Chr1	23200001	23200001	1	95
Chr1	23300001	23300001	0	95
Chr1	23400001	23400001	2	95
Chr1	23500001	23500001	0	95
Chr1	23600001	23600001	0	95
Chr1	23700001	23700001	0	95
Chr1	23800001	23800001	0	95
Chr1	23900001	23900001	1	95
Chr1	24000001	24000001	0	95
Chr1	24100001	24100001	0	95
Chr1	24200001	24200001	0	95
Chr1	24300001	24300001	0	95
Chr1	24400001	24400001	0	95
Chr1	24500001	24500001	0	95
Chr1	24600001	24600001	1	95
Chr1	24700001	24700001	0	95
Chr1	24800001	24800001	1	95
Chr1	24900001	24900001	1	95
Chr1	25000001	25000001	0	95
Chr1	25100001	25100001	1	95
Chr1	25200001	25200001	0	95
Chr1	25300001	25300001	0	95
Chr1	25400001	25400001	1	95
Chr1	25500001	25500001	0	95
Chr1	25600001	25600001	1	95
Chr1	25700001	25700001	0	95
Chr1	25800001	25800001	0	95
Chr1	25900001	25900001	0	95
Chr1	26000001	26000001	3	95
Chr1	26100001	26100001	2	95
Chr1	26200001	26200001	1	95
Chr1	26300001	26300001	1	95
Chr1	26400001	26400001	1	95
Chr1	26500001	26500001	2	95
Chr1	26600001	26600001	0	95
Chr1	26700001	26700001	0	95
Chr1	26800001	26800001	2	95
Chr1	26900001	26900001	1	95
Chr1	27000001	27000001	0	95
Chr1	27100001	27100001	0	95
Chr1	27200001	27200001	0	95
Chr1	27300001	27300001	0	95
Chr1	27400001	27400001	0	95
Chr1	27500001	27500001	1	95
Chr1	27600001	27600001	0	95
Chr1	27700001	27700001	0	95
Chr1	27800001	27800001	0	95
Chr1	27900001	27900001	0	95
Chr1	28000001	28000001	0	95
Chr1	28100001	28100001	2	95
Chr1	28200001	28200001	2	95
Chr1	28300001	28300001	0	95
Chr1	28400001	28400001	0	95
Chr1	28500001	28500001	0	95
Chr1	28600001	28600001	1	95
Chr1	28700001	28700001	1	95
Chr1	28800001	28800001	1	95
Chr1	28900001	28900001	1	95
Chr1	29000001	29000001	1	95
Chr1	29100001	29100001	2	95
Chr1	29200001	29200001	2	95
Chr1	29300001	29300001	2	95
Chr1	29400001	29400001	2	95
Chr1	29500001	29500001	1	95
Chr1	29600001	29600001	1	95
Chr1	29700001	29700001	0	95
Chr1	29800001	29800001	0	95
Chr1	29900001	29900001	0	95
Chr1	30000001	30000001	1	95
Chr1	30100001	30100001	0	95
Chr1	30200001	30200001	1	95
Chr1	30300001	30300001	0	95
Chr1	30400001	30400001	0	95
Chr2	1	30427672	0	95
Chr2	100001	30527672	3	95
Chr2	200001	30627672	5	95
Chr2	300001	30727672	4	95
Chr2	400001	30827672	2	95
Chr2	500001	30927672	1	95
Chr2	600001	31027672	1	95
Chr2	700001	31127672	1	95
Chr2	800001	31227672	4	95
Chr2	900001	31327672	0	95
Chr2	1000001	31427672	1	95
Chr2	1100001	31527672	1	95
Chr2	1200001	31627672	0	95
Chr2	1300001	31727672	0	95
Chr2	1400001	31827672	3	95
Chr2	1500001	31927672	1	95
Chr2	1600001	32027672	0	95
Chr2	1700001	32127672	1	95
Chr2	1800001	32227672	1	95
Chr2	1900001	32327672	1	95
Chr2	2000001	32427672	0	95
Chr2	2100001	32527672	3	95
Chr2	2200001	32627672	5	95
Chr2	2300001	32727672	2	95
Chr2	2400001	32827672	0	95
Chr2	2500001	32927672	0	95
Chr2	2600001	33027672	0	95
Chr2	2700001	33127672	0	95
Chr2	2800001	33227672	0	95
Chr2	2900001	33327672	0	95
Chr2	3000001	33427672	0	95
Chr2	3100001	33527672	0	95
Chr2	3200001	33627672	0	95
Chr2	3300001	33727672	0	95
Chr2	3400001	33827672	0	95
Chr2	3500001	33927672	0	95
Chr2	3600001	34027672	0	95
Chr2	3700001	34127672	0	95
Chr2	3800001	34227672	0	95
Chr2	3900001	34327672	0	95
Chr2	4000001	34427672	0	95
Chr2	4100001	34527672	0	95
Chr2	4200001	34627672	0	95
Chr2	4300001	34727672	0	95
Chr2	4400001	34827672	0	95
Chr2	4500001	34927672	1	95
Chr2	4600001	35027672	0	95
Chr2	4700001	35127672	0	95
Chr2	4800001	35227672	0	95
Chr2	4900001	35327672	0	95
Chr2	5000001	35427672	0	95
Chr2	5100001	35527672	0	95
Chr2	5200001	35627672	0	95
Chr2	5300001	35727672	0	95
Chr2	5400001	35827672	1	95
Chr2	5500001	35927672	0	95
Chr2	5600001	36027672	1	95
Chr2	5700001	36127672	0	95
Chr2	5800001	36227672	1	95
Chr2	5900001	36327672	1	95
Chr2	6000001	36427672	2	95
Chr2	6100001	36527672	0	95
Chr2	6200001	36627672	1	95
Chr2	6300001	36727672	3	95
Chr2	6400001	36827672	0	95
Chr2	6500001	36927672	0	95
Chr2	6600001	37027672	1	95
Chr2	6700001	37127672	0	95
Chr2	6800001	37227672	1	95
Chr2	6900001	37327672	0	95
Chr2	7000001	37427672	1	95
Chr2	7100001	37527672	0	95
Chr2	7200001	37627672	3	95
Chr2	7300001	37727672	1	95
Chr2	7400001	37827672	3	95
Chr2	7500001	37927672	0	95
Chr2	7600001	38027672	1	95
Chr2	7700001	38127672	0	95
Chr2	7800001	38227672	1	95
Chr2	7900001	38327672	0	95
Chr2	8000001	38427672	1	95
Chr2	8100001	38527672	0	95
Chr2	8200001	38627672	0	95
Chr2	8300001	38727672	0	95
Chr2	8400001	38827672	0	95
Chr2	8500001	38927672	0	95
Chr2	8600001	39027672	1	95
Chr2	8700001	39127672	1	95
Chr2	8800001	39227672	0	95
Chr2	8900001	39327672	0	95
Chr2	9000001	39427672	0	95
Chr2	9100001	39527672	0	95
Chr2	9200001	39627672	1	95
Chr2	9300001	39727672	1	95
Chr2	9400001	39827672	0	95
Chr2	9500001	39927672	0	95
Chr2	9600001	40027672	2	95
Chr2	9700001	40127672	4	95
Chr2	9800001	40227672	1	95
Chr2	9900001	40327672	2	95
Chr2	10000001	40427672	1	95
Chr2	10100001	40527672	1	95
Chr2	10200001	40627672	0	95
Chr2	10300001	40727672	0	95
Chr2	10400001	40827672	1	95
Chr2	10500001	40927672	1	95
Chr2	10600001	41027672	0	95
Chr2	10700001	41127672	1	95
Chr2	10800001	41227672	2	95
Chr2	10900001	41327672	0	95
Chr2	11000001	41427672	0	95
Chr2	11100001	41527672	0	95
Chr2	11200001	41627672	0	95
Chr2	11300001	41727672	0	95
Chr2	11400001	41827672	0	95
Chr2	11500001	41927672	0	95
Chr2	11600001	42027672	0	95
Chr2	11700001	42127672	0	95
Chr2	11800001	42227672	1	95
Chr2	11900001	42327672	1	95
Chr2	12000001	42427672	2	95
Chr2	12100001	42527672	0	95
Chr2	12200001	42627672	0	95
Chr2	12300001	42727672	1	95
Chr2	12400001	42827672	2	95
Chr2	12500001	42927672	0	95
Chr2	12600001	43027672	1	95
Chr2	12700001	43127672	0	95
Chr2	12800001	43227672	1	95
Chr2	12900001	43327672	0	95
Chr2	13000001	43427672	0	95
Chr2	13100001	43527672	0	95
Chr2	13200001	43627672	0	95
Chr2	13300001	43727672	1	95
Chr2	13400001	43827672	0	95
Chr2	13500001	43927672	1	95
Chr2	13600001	44027672	0	95
Chr2	13700001	44127672	0	95
Chr2	13800001	44227672	0	95
Chr2	13900001	44327672	1	95
Chr2	14000001	44427672	0	95
Chr2	14100001	44527672	0	95
Chr2	14200001	44627672	0	95
Chr2	14300001	44727672	1	95
Chr2	14400001	44827672	0	95
Chr2	14500001	44927672	1	95
Chr2	14600001	45027672	0	95
Chr2	14700001	45127672	0	95
Chr2	14800001	45227672	0	95
Chr2	14900001	45327672	0	95
Chr2	15000001	45427672	0	95
Chr2	15100001	45527672	0	95
Chr2	15200001	45627672	0	95
Chr2	15300001	45727672	0	95
Chr2	15400001	45827672	0	95
Chr2	15500001	45927672	0	95
Chr2	15600001	46027672	0	95
Chr2	15700001	46127672	0	95
Chr2	15800001	46227672	0	95
Chr2	15900001	46327672	0	95
Chr2	16000001	46427672	0	95
Chr2	16100001	46527672	1	95
Chr2	16200001	46627672	2	95
Chr2	16300001	46727672	0	95
Chr2	16400001	46827672	0	95
Chr2	16500001	46927672	0	95
Chr2	16600001	47027672	2	95
Chr2	16700001	47127672	0	95
Chr2	16800001	47227672	0	95
Chr2	16900001	47327672	3	95
Chr2	17000001	47427672	0	95
Chr2	17100001	47527672	0	95
Chr2	17200001	47627672	0	95
Chr2	17300001	47727672	0	95
Chr2	17400001	47827672	0	95
Chr2	17500001	47927672	0	95
Chr2	17600001	48027672	1	95
Chr2	17700001	48127672	1	95
Chr2	17800001	48227672	1	95
Chr2	17900001	48327672	4	95
Chr2	18000001	48427672	1	95
Chr2	18100001	48527672	0	95
Chr2	18200001	48627672	0	95
Chr2	18300001	48727672	2	95
Chr2	18400001	48827672	0	95
Chr2	18500001	48927672	2	95
Chr2	18600001	49027672	1	95
Chr2	18700001	49127672	0	95
Chr2	18800001	49227672	3	95
Chr2	18900001	49327672	1	95
Chr2	19000001	49427672	0	95
Chr2	19100001	49527672	1	95
Chr2	19200001	49627672	0	95
Chr2	19300001	49727672	0	95
Chr2	19400001	49827672	1	95
Chr2	19500001	49927672	0	95
Chr2	19600001	50027672	0	95
Chr3	1	50125961	0	95
Chr3	100001	50225961	0	95
Chr3	200001	50325961	0	95
Chr3	300001	50425961	0	95
Chr3	400001	50525961	0	95
Chr3	500001	50625961	2	95
Chr3	600001	50725961	1	95
Chr3	700001	50825961	0	95
Chr3	800001	50925961	0	95
Chr3	900001	51025961	1	95
Chr3	1000001	51125961	2	95
Chr3	1100001	51225961	0	95
Chr3	1200001	51325961	1	95
Chr3	1300001	51425961	0	95
Chr3	1400001	51525961	0	95
Chr3	1500001	51625961	0	95
Chr3	1600001	51725961	0	95
Chr3	1700001	51825961	0	95
Chr3	1800001	51925961	2	95
Chr3	1900001	52025961	0	95
Chr3	2000001	52125961	0	95
Chr3	2100001	52225961	0	95
Chr3	2200001	52325961	0	95
Chr3	2300001	52425961	0	95
Chr3	2400001	52525961	0	95
Chr3	2500001	52625961	0	95
Chr3	2600001	52725961	0	95
Chr3	2700001	52825961	0	95
Chr3	2800001	52925961	1	95
Chr3	2900001	53025961	1	95
Chr3	3000001	53125961	0	95
Chr3	3100001	53225961	1	95
Chr3	3200001	53325961	0	95
Chr3	3300001	53425961	0	95
Chr3	3400001	53525961	0	95
Chr3	3500001	53625961	2	95
Chr3	3600001	53725961	0	95
Chr3	3700001	53825961	0	95
Chr3	3800001	53925961	0	95
Chr3	3900001	54025961	0	95
Chr3	4000001	54125961	0	95
Chr3	4100001	54225961	1	95
Chr3	4200001	54325961	0	95
Chr3	4300001	54425961	0	95
Chr3	4400001	54525961	0	95
Chr3	4500001	54625961	1	95
Chr3	4600001	54725961	1	95
Chr3	4700001	54825961	1	95
Chr3	4800001	54925961	0	95
Chr3	4900001	55025961	0	95
Chr3	5000001	55125961	0	95
Chr3	5100001	55225961	0	95
Chr3	5200001	55325961	1	95
Chr3	5300001	55425961	0	95
Chr3	5400001	55525961	3	95
Chr3	5500001	55625961	0	95
Chr3	5600001	55725961	0	95
Chr3	5700001	55825961	2	95
Chr3	5800001	55925961	0	95
Chr3	5900001	56025961	1	95
Chr3	6000001	56125961	0	95
Chr3	6100001	56225961	1	95
Chr3	6200001	56325961	3	95
Chr3	6300001	56425961	1	95
Chr3	6400001	56525961	0	95
Chr3	6500001	56625961	0	95
Chr3	6600001	56725961	0	95
Chr3	6700001	56825961	1	95
Chr3	6800001	56925961	0	95
Chr3	6900001	57025961	1	95
Chr3	7000001	57125961	1	95
Chr3	7100001	57225961	0	95
Chr3	7200001	57325961	1	95
Chr3	7300001	57425961	2	95
Chr3	7400001	57525961	2	95
Chr3	7500001	57625961	1	95
Chr3	7600001	57725961	0	95
Chr3	7700001	57825961	0	95
Chr3	7800001	57925961	0	95
Chr3	7900001	58025961	2	95
Chr3	8000001	58125961	2	95
Chr3	8100001	58225961	1	95
Chr3	8200001	58325961	0	95
Chr3	8300001	58425961	0	95
Chr3	8400001	58525961	0	95
Chr3	8500001	58625961	0	95
Chr3	8600001	58725961	0	95
Chr3	8700001	58825961	0	95
Chr3	8800001	58925961	0	95
Chr3	8900001	59025961	2	95
Chr3	9000001	59125961	1	95
Chr3	9100001	59225961	1	95
Chr3	9200001	59325961	1	95
Chr3	9300001	59425961	2	95
Chr3	9400001	59525961	2	95
Chr3	9500001	59625961	0	95
Chr3	9600001	59725961	2	95
Chr3	9700001	59825961	2	95
Chr3	9800001	59925961	2	95
Chr3	9900001	60025961	2	95
Chr3	10000001	60125961	4	95
Chr3	10100001	60225961	2	95
Chr3	10200001	60325961	1	95
Chr3	10300001	60425961	4	95
Chr3	10400001	60525961	0	95
Chr3	10500001	60625961	1	95
Chr3	10600001	60725961	0	95
Chr3	10700001	60825961	0	95
Chr3	10800001	60925961	3	95
Chr3	10900001	61025961	1	95
Chr3	11000001	61125961	0	95
Chr3	11100001	61225961	0	95
Chr3	11200001	61325961	3	95
Chr3	11300001	61425961	0	95
Chr3	11400001	61525961	0	95
Chr3	11500001	61625961	0	95
Chr3	11600001	61725961	0	95
Chr3	11700001	61825961	4	95
Chr3	11800001	61925961	1	95
Chr3	11900001	62025961	0	95
Chr3	12000001	62125961	0	95
Chr3	12100001	62225961	0	95
Chr3	12200001	62325961	0	95
Chr3	12300001	62425961	0	95
Chr3	12400001	62525961	0	95
Chr3	12500001	62625961	0	95
Chr3	12600001	62725961	0	95
Chr3	12700001	62825961	0	95
Chr3	12800001	62925961	0	95
Chr3	12900001	63025961	0	95
Chr3	13000001	63125961	0	95
Chr3	13100001	63225961	0	95
Chr3	13200001	63325961	0	95
Chr3	13300001	63425961	0	95
Chr3	13400001	63525961	0	95
Chr3	13500001	63625961	0	95
Chr3	13600001	63725961	0	95
Chr3	13700001	63825961	0	95
Chr3	13800001	63925961	0	95
Chr3	13900001	64025961	0	95
Chr3	14000001	64125961	0	95
Chr3	14100001	64225961	0	95
Chr3	14200001	64325961	0	95
Chr3	14300001	64425961	0	95
Chr3	14400001	64525961	0	95
Chr3	14500001	64625961	0	95
Chr3	14600001	64725961	0	95
Chr3	14700001	64825961	0	95
Chr3	14800001	64925961	0	95
Chr3	14900001	65025961	1	95
Chr3	15000001	65125961	0	95
Chr3	15100001	65225961	0	95
Chr3	15200001	65325961	0	95
Chr3	15300001	65425961	0	95
Chr3	15400001	65525961	0	95
Chr3	15500001	65625961	3	95
Chr3	15600001	65725961	6	95
Chr3	15700001	65825961	2	95
Chr3	15800001	65925961	0	95
Chr3	15900001	66025961	5	95
Chr3	16000001	66125961	0	95
Chr3	16100001	66225961	1	95
Chr3	16200001	66325961	2	95
Chr3	16300001	66425961	1	95
Chr3	16400001	66525961	1	95
Chr3	16500001	66625961	0	95
Chr3	16600001	66725961	2	95
Chr3	16700001	66825961	2	95
Chr3	16800001	66925961	0	95
Chr3	16900001	67025961	2	95
Chr3	17000001	67125961	3	95
Chr3	17100001	67225961	0	95
Chr3	17200001	67325961	0	95
Chr3	17300001	67425961	0	95
Chr3	17400001	67525961	2	95
Chr3	17500001	67625961	1	95
Chr3	17600001	67725961	0	95
Chr3	17700001	67825961	0	95
Chr3	17800001	67925961	0	95
Chr3	17900001	68025961	0	95
Chr3	18000001	68125961	0	95
Chr3	18100001	68225961	0	95
Chr3	18200001	68325961	2	95
Chr3	18300001	68425961	0	95
Chr3	18400001	68525961	2	95
Chr3	18500001	68625961	1	95
Chr3	18600001	68725961	0	95
Chr3	18700001	68825961	2	95
Chr3	18800001	68925961	0	95
Chr3	18900001	69025961	1	95
Chr3	19000001	69125961	0	95
Chr3	19100001	69225961	1	95
Chr3	19200001	69325961	1	95
Chr3	19300001	69425961	0	95
Chr3	19400001	69525961	1	95
Chr3	19500001	69625961	1	95
Chr3	19600001	69725961	1	95
Chr3	19700001	69825961	1	95
Chr3	19800001	69925961	0	95
Chr3	19900001	70025961	0	95
Chr3	20000001	70125961	1	95
Chr3	20100001	70225961	0	95
Chr3	20200001	70325961	1	95
Chr3	20300001	70425961	0	95
Chr3	20400001	70525961	1	95
Chr3	20500001	70625961	0	95
Chr3	20600001	70725961	1	95
Chr3	20700001	70825961	2	95
Chr3	20800001	70925961	1	95
Chr3	20900001	71025961	0	95
Chr3	21000001	71125961	1	95
Chr3	21100001	71225961	0	95
Chr3	21200001	71325961	0	95
Chr3	21300001	71425961	0	95
Chr3	21400001	71525961	0	95
Chr3	21500001	71625961	0	95
Chr3	21600001	71725961	1	95
Chr3	21700001	71825961	0	95
Chr3	21800001	71925961	1	95
Chr3	21900001	72025961	1	95
Chr3	22000001	72125961	1	95
Chr3	22100001	72225961	1	95
Chr3	22200001	72325961	0	95
Chr3	22300001	72425961	1	95
Chr3	22400001	72525961	1	95
Chr3	22500001	72625961	0	95
Chr3	22600001	72725961	2	95
Chr3	22700001	72825961	0	95
Chr3	22800001	72925961	0	95
Chr3	22900001	73025961	2	95
Chr3	23000001	73125961	0	95
Chr3	23100001	73225961	0	95
Chr3	23200001	73325961	2	95
Chr3	23300001	73425961	0	95
Chr3	23400001	73525961	0	95
Chr4	1	73585791	4	95
Chr4	100001	73685791	3	95
Chr4	200001	73785791	0	95
Chr4	300001	73885791	2	95
Chr4	400001	73985791	2	95
Chr4	500001	74085791	2	95
Chr4	600001	74185791	8	95
Chr4	700001	74285791	1	95
Chr4	800001	74385791	1	95
Chr4	900001	74485791	0	95
Chr4	1000001	74585791	0	95
Chr4	1100001	74685791	0	95
Chr4	1200001	74785791	2	95
Chr4	1300001	74885791	0	95
Chr4	1400001	74985791	0	95
Chr4	1500001	75085791	0	95
Chr4	1600001	75185791	0	95
Chr4	1700001	75285791	0	95
Chr4	1800001	75385791	0	95
Chr4	1900001	75485791	0	95
Chr4	2000001	75585791	0	95
Chr4	2100001	75685791	0	95
Chr4	2200001	75785791	0	95
Chr4	2300001	75885791	0	95
Chr4	2400001	75985791	0	95
Chr4	2500001	76085791	0	95
Chr4	2600001	76185791	0	95
Chr4	2700001	76285791	0	95
Chr4	2800001	76385791	0	95
Chr4	2900001	76485791	0	95
Chr4	3000001	76585791	0	95
Chr4	3100001	76685791	0	95
Chr4	3200001	76785791	0	95
Chr4	3300001	76885791	1	95
Chr4	3400001	76985791	0	95
Chr4	3500001	77085791	0	95
Chr4	3600001	77185791	0	95
Chr4	3700001	77285791	0	95
Chr4	3800001	77385791	0	95
Chr4	3900001	77485791	0	95
Chr4	4000001	77585791	0	95
Chr4	4100001	77685791	0	95
Chr4	4200001	77785791	0	95
Chr4	4300001	77885791	0	95
Chr4	4400001	77985791	0	95
Chr4	4500001	78085791	0	95
Chr4	4600001	78185791	0	95
Chr4	4700001	78285791	0	95
Chr4	4800001	78385791	1	95
Chr4	4900001	78485791	0	95
Chr4	5000001	78585791	0	95
Chr4	5100001	78685791	2	95
Chr4	5200001	78785791	5	95
Chr4	5300001	78885791	1	95
Chr4	5400001	78985791	2	95
Chr4	5500001	79085791	4	95
Chr4	5600001	79185791	2	95
Chr4	5700001	79285791	4	95
Chr4	5800001	79385791	0	95
Chr4	5900001	79485791	0	95
Chr4	6000001	79585791	1	95
Chr4	6100001	79685791	1	95
Chr4	6200001	79785791	3	95
Chr4	6300001	79885791	3	95
Chr4	6400001	79985791	0	95
Chr4	6500001	80085791	2	95
Chr4	6600001	80185791	1	95
Chr4	6700001	80285791	3	95
Chr4	6800001	80385791	2	95
Chr4	6900001	80485791	0	95
Chr4	7000001	80585791	0	95
Chr4	7100001	80685791	0	95
Chr4	7200001	80785791	3	95
Chr4	7300001	80885791	3	95
Chr4	7400001	80985791	1	95
Chr4	7500001	81085791	2	95
Chr4	7600001	81185791	0	95
Chr4	7700001	81285791	0	95
Chr4	7800001	81385791	0	95
Chr4	7900001	81485791	0	95
Chr4	8000001	81585791	1	95
Chr4	8100001	81685791	0	95
Chr4	8200001	81785791	1	95
Chr4	8300001	81885791	0	95
Chr4	8400001	81985791	2	95
Chr4	8500001	82085791	0	95
Chr4	8600001	82185791	0	95
